"","HandID","Timestamp","BigBlind","all-in","bets","calls","collected","posts","raises","Uncalled bet","profit","balance","profit_bb","balance_bb","running_sum","running_sum_bb"
"1","169202441319:  ",2017-04-18 02:59:33,0.02,0,0.22,0,0.22,0,0.1,0.22,0.12,0.12,6,6,0,0
"5","169202462725:  ",2017-04-18 03:00:59,0.02,0,0.1,0.02,0.05,0,0,0.1,0.03,0.15,1.5,7.5,0,0
"9","169202475482:  ",2017-04-18 03:01:45,0.02,0,0,0.03,0,0.02,0,0,-0.05,0.1,-2.5,5,0,0
"11","169202500246:  ",2017-04-18 03:03:14,0.02,0,0,0,0,0.01,0,0,-0.01,0.09,-0.5,4.5,0,0
"12","169205560435:  ",2017-04-18 05:38:13,0.05,0,0.45,0.1,0,0.05,0,0,-0.6,-0.51,-12,-7.5,0,0
"15","169205579221:  ",2017-04-18 05:39:00,0.05,1.05,0,0.35,0.69,0,0,1.05,0.34,-0.17,6.8,-0.7,0,0
"20","169205600369:  ",2017-04-18 05:39:53,0.05,0,0,0.05,0,0,0,0,-0.05,-0.22,-1,-1.7,0,0
"21","169205615781:  ",2017-04-18 05:40:32,0.05,0,0.17,0.1,0.31,0.05,0,0.17,0.16,-0.06,3.2,1.5,0,0
"26","169205629324:  ",2017-04-18 05:41:06,0.05,0,0,0,0,0.02,0,0,-0.02,-0.08,-0.4,1.1,0,0
"27","169205635567:  ",2017-04-18 05:41:21,0.05,0,0.24,0,0.24,0,0.1,0.24,0.14,0.06,2.8,3.9,0,0
"31","169205650646:  ",2017-04-18 05:41:59,0.05,0,0,0,0,0.05,0,0,-0.05,0.00999999999999998,-1,2.9,0,0
"32","169205652411:  ",2017-04-18 05:42:03,0.05,0,0.06,0.05,0.12,0,0,0.06,0.07,0.08,1.4,4.3,0,0
"36","169205663265:  ",2017-04-18 05:42:30,0.05,0,0,0,0.35,0.02,0.7,0.6,0.23,0.31,4.6,8.9,0,0
"40","169205670656:  ",2017-04-18 05:42:49,0.05,1.92,0.25,0.07,1.97,0.05,0,0,-0.32,-0.0100000000000001,-6.4,2.5,0,0
"45","169205689085:  ",2017-04-18 05:43:35,0.05,0,0,0,0,0.02,0,0,-0.02,-0.0300000000000001,-0.4,2.1,0,0
"46","169205698804:  ",2017-04-18 05:43:59,0.07,0,0,0.05,0,0,0,0,-0.05,-0.0800000000000001,-0.7,1.4,0,0
"47","169205707661:  ",2017-04-18 05:44:21,0.05,0,0.94,0,0.7,0,0.1,0.7,0.36,0.28,7.2,8.6,0,0
"52","169205708919:  ",2017-04-18 05:44:24,0.05,0,0,0.05,0,0,0,0,-0.05,0.23,-1,7.6,0,0
"53","169205743873:  ",2017-04-18 05:45:50,0.05,0,0,0,0,0.05,0,0,-0.05,0.18,-1,6.6,0,0
"54","169205747089:  ",2017-04-18 05:45:58,0.05,0,0,0.19,0,0,0,0,-0.19,-0.0100000000000002,-3.8,2.8,0,0
"56","169205752080:  ",2017-04-18 05:46:10,0.05,0,0,0,0,0.02,0,0,-0.02,-0.0300000000000002,-0.4,2.4,0,0
"57","169205765290:  ",2017-04-18 05:46:43,0.05,0,0.34,0,0,0,0.15,0,-0.49,-0.52,-9.8,-7.4,0,0
"59","169205766894:  ",2017-04-18 05:46:47,0.05,0,0,0,0,0.05,0,0,-0.05,-0.57,-1,-8.4,0,0
"60","169205779467:  ",2017-04-18 05:47:18,0.05,0,0,0,0,0.02,0,0,-0.02,-0.59,-0.4,-8.8,0,0
"61","169205783168:  ",2017-04-18 05:47:27,0.05,0,0,0.05,0,0,0,0,-0.05,-0.64,-1,-9.8,0,0
"62","169205808760:  ",2017-04-18 05:48:31,0.05,0,0,0,0,0.05,0,0,-0.05,-0.69,-1,-10.8,0,0
"63","169205816824:  ",2017-04-18 05:48:51,0.05,0,0,0,0,0.02,0,0,-0.02,-0.71,-0.4,-11.2,0,0
"64","169205824787:  ",2017-04-18 05:49:10,0.05,0,0.14,0.05,0.14,0,0,0.14,0.09,-0.62,1.8,-9.4,0,0
"68","169205844036:  ",2017-04-18 05:49:59,0.05,0,0,0,0.12,0,0.15,0.1,0.07,-0.55,1.4,-8,0,0
"71","169205864035:  ",2017-04-18 05:50:48,0.05,0,0,0.05,0,0.05,0,0,-0.1,-0.65,-2,-10,0,0
"73","169205889265:  ",2017-04-18 05:51:50,0.05,0,0,0,0,0.02,0,0,-0.02,-0.67,-0.4,-10.4,0,0
"74","169205897433:  ",2017-04-18 05:52:11,0.05,0,0,0,0,0.05,0,0,-0.05,-0.72,-1,-11.4,0,0
"75","169205904745:  ",2017-04-18 05:52:29,0.05,0,0,0,0,0.02,0,0,-0.02,-0.74,-0.4,-11.8,0,0
"76","169205907368:  ",2017-04-18 05:52:36,0.05,0,1.07,0.15,1.07,0,0.4,1.07,0.52,-0.22,10.4,-1.4,0,0
"82","169205931532:  ",2017-04-18 05:53:36,0.05,1.11,0,0.15,0.77,0,0,0.87,0.38,0.16,7.6,6.2,0,0
"87","169205935815:  ",2017-04-18 05:53:47,0.05,0,0,0.2,0,0,0,0,-0.2,-0.0400000000000003,-4,2.2,0,0
"88","169205955314:  ",2017-04-18 05:54:35,0.05,0,0,0,0.12,0,0.15,0.1,0.07,0.0299999999999997,1.4,3.6,0,0
"91","169205972416:  ",2017-04-18 05:55:18,0.05,0,0,0,0.12,0,0.2,0.15,0.07,0.0999999999999997,1.4,5,0,0
"94","169205981163:  ",2017-04-18 05:55:43,0.05,1.78,0,0,0.24,0.05,0,1.67,0.0799999999999998,0.18,1.6,6.6,0,0
